Date,Region,Product_Category,Sales_Amount,Profit,Customer_ID,Quantity
2024-07-18,North America,Home & Garden,2800.00,840.00,C073,7
2024-07-20,Europe,Sports & Outdoors,1620.00,405.00,C074,4
2024-07-22,Asia,Clothing,2100.00,630.00,C075,11
2024-07-25,North America,Electronics,4300.00,1075.00,C076,9
2024-07-28,Europe,Home & Garden,3000.00,900.00,C077,8
2024-07-30,Asia,Sports & Outdoors,1720.00,430.00,C078,5
2024-08-01,North America,Clothing,2580.00,774.00,C079,13
2024-08-04,Europe,Electronics,4600.00,1150.00,C080,10
2024-08-07,Asia,Home & Garden,3340.00,1002.00,C081,8
2024-08-09,North America,Sports & Outdoors,2100.00,525.00,C082,5
2024-08-11,Europe,Clothing,1890.00,567.00,C083,11
2024-08-14,Asia,Electronics,5800.00,1740.00,C084,13
2024-08-17,North America,Home & Garden,3100.00,930.00,C085,8
2024-08-19,Europe,Sports & Outdoors,1780.00,445.00,C086,5
2024-08-21,Asia,Clothing,2340.00,702.00,C087,12
2024-08-24,North America,Electronics,4700.00,1175.00,C088,10
2024-08-27,Europe,Home & Garden,3240.00,972.00,C089,9
2024-08-29,Asia,Sports & Outdoors,1890.00,472.50,C090,5
2024-09-01,North America,Clothing,2800.00,840.00,C091,14
2024-09-04,Europe,Electronics,5000.00,1250.00,C092,11
2024-09-07,Asia,Home & Garden,3580.00,1074.00,C093,9
2024-09-09,North America,Sports & Outdoors,2340.00,585.00,C094,6
2024-09-11,Europe,Clothing,2100.00,630.00,C095,12
2024-09-14,Asia,Electronics,6200.00,1860.00,C096,14
2024-09-17,North America,Home & Garden,3400.00,1020.00,C097,9
2024-09-19,Europe,Sports & Outdoors,1950.00,487.50,C098,5
2024-09-21,Asia,Clothing,2580.00,774.00,C099,13
2024-09-24,North America,Electronics,5100.00,1275.00,C100,11
2024-09-27,Europe,Home & Garden,3480.00,1044.00,C101,10
2024-09-29,Asia,Sports & Outdoors,2100.00,525.00,C102,6
2024-10-02,North America,Clothing,3100.00,930.00,C103,15
2024-10-05,Europe,Electronics,5400.00,1350.00,C104,12
2024-10-08,Asia,Home & Garden,3820.00,1146.00,C105,10
2024-10-10,North America,Sports & Outdoors,2580.00,645.00,C106,6
2024-10-12,Europe,Clothing,2340.00,702.00,C107,13
2024-10-15,Asia,Electronics,6600.00,1980.00,C108,15
2024-10-18,North America,Home & Garden,3680.00,1104.00,C109,10
2024-10-20,Europe,Sports & Outdoors,2100.00,525.00,C110,6
2024-10-22,Asia,Clothing,2800.00,840.00,C111,14
2024-10-25,North America,Electronics,5500.00,1375.00,C112,12
2024-10-28,Europe,Home & Garden,3720.00,1116.00,C113,11
2024-10-30,Asia,Sports & Outdoors,2340.00,585.00,C114,7
2024-11-01,North America,Clothing,3400.00,1020.00,C115,16
2024-11-04,Europe,Electronics,5800.00,1450.00,C116,13
2024-11-07,Asia,Home & Garden,4060.00,1218.00,C117,11
2024-11-09,North America,Sports & Outdoors,2800.00,700.00,C118,7
2024-11-11,Europe,Clothing,2580.00,774.00,C119,14
2024-11-14,Asia,Electronics,7000.00,2100.00,C120,16
2024-11-17,North America,Home & Garden,3960.00,1188.00,C121,11
2024-11-19,Europe,Sports & Outdoors,2340.00,585.00,C122,7
2024-11-21,Asia,Clothing,3100.00,930.00,C123,15
2024-11-24,North America,Electronics,5900.00,1475.00,C124,13
2024-11-27,Europe,Home & Garden,3960.00,1188.00,C125,12
2024-11-29,Asia,Sports & Outdoors,2580.00,645.00,C126,7
2024-12-02,North America,Clothing,3680.00,1104.00,C127,17
2024-12-05,Europe,Electronics,6200.00,1550.00,C128,14
2024-12-08,Asia,Home & Garden,4340.00,1302.00,C129,12
2024-12-10,North America,Sports & Outdoors,3100.00,775.00,C130,8
2024-12-12,Europe,Clothing,2800.00,840.00,C131,15
2024-12-15,Asia,Electronics,7400.00,2220.00,C132,17
2024-12-18,North America,Home & Garden,4240.00,1272.00,C133,12
2024-12-20,Europe,Sports & Outdoors,2580.00,645.00,C134,8
2024-12-22,Asia,Clothing,,,C135,
2024-12-25,North America,Electronics,6300.00,1575.00,C136,14
2024-12-28,Europe,Home & Garden,,1260.00,C137,13
2024-12-30,Asia,Sports & Outdoors,2800.00,700.00,C138,8
